Harmonics,L2 Error,Max Error,Mean Error,Median Error,Best Model
5,5.124989297089989e-07,5.364418029785156e-07,2.0706467388222903e-07,1.7881393432617188e-07,False
10,1.943336073048435e-07,3.5762786865234375e-07,7.496997808393857e-08,5.960464477539063e-08,True
15,0.4020501719230062,0.4952584020793438,0.16249530978119373,0.1419508457183838,False
20,0.4804011596241068,0.49239279329776764,0.1923079269607088,0.1681996639817953,False
25,0.4821594358877492,0.49911123514175415,0.19092967389155693,0.16919073089957237,False
30,0.49184677205025584,0.4983080327510834,0.19803550460480984,0.17665008455514908,False
35,0.4890211691899723,0.49932026863098145,0.19633224918091577,0.17102059070020914,False
40,0.47505014938275464,0.49330247938632965,0.18946598026643627,0.16726405918598175,False
45,0.20016194853879335,0.33870212733745575,0.07842740622931017,0.06613817811012268,False
50,0.4904483353553882,0.49890607595443726,0.19620800166463515,0.1742391218431294,False
